datetime,open,high,low,close,volume
2022-01-03 03:45:00+00:00,957.5012832397691,962.2945461767088,953.6712781068101,958.4607033632558,2419561
2022-01-03 07:45:00+00:00,958.4607033632558,963.2578039806896,954.6268605498028,959.4201234867426,1979641
2022-01-04 03:45:00+00:00,959.4201234867426,963.2578039806896,954.6475816099387,958.4815076405007,2668842
2022-01-04 07:45:00+00:00,958.4815076405007,962.3154336710627,953.7127202270817,957.5428917942587,2183598
2022-01-05 03:45:00+00:00,957.5428917942587,963.2352951591712,953.7127202270817,959.397704341804,2634174
2022-01-05 07:45:00+00:00,959.397704341804,965.0975269569067,955.5601135244368,961.2525168893493,2155233
2022-01-06 03:45:00+00:00,961.2525168893493,965.0975269569067,946.710587232873,950.512637784009,2106187
2022-01-06 07:45:00+00:00,950.512637784009,954.3146883351451,936.0136676439542,939.7727586786689,1723244
2022-01-07 03:45:00+00:00,939.7727586786689,943.5318497133835,912.5793491647037,916.244326470586,1960427
2022-01-07 07:45:00+00:00,916.244326470586,919.9093037764683,889.1450306854532,892.7158942625032,1603985
2022-01-10 03:45:00+00:00,892.7158942625032,896.2867578395532,881.8245610867334,885.3660251874834,1792077
2022-01-10 07:45:00+00:00,885.3660251874834,888.9074892882334,874.5040914880137,878.0161561124636,1466245
2022-01-11 03:45:00+00:00,878.0161561124636,889.5752599029869,874.5040914880137,886.0311353615407,763805
2022-01-11 07:45:00+00:00,886.0311353615407,897.6222990690604,882.4870108200945,894.0461146106179,624932
2022-01-12 03:45:00+00:00,894.0461146106179,897.6222990690604,879.9891172377792,883.5232100780916,424925
2022-01-12 07:45:00+00:00,883.5232100780916,887.0573029184039,869.5083043233828,873.0003055455651,347665
2022-01-13 03:45:00+00:00,873.0003055455651,878.1972596707449,869.5083043233828,874.6984658075148,1332289
2022-01-13 07:45:00+00:00,874.6984658075148,879.9022125737423,871.1996719442848,876.3966260694644,1090055
2022-01-14 03:45:00+00:00,876.3966260694644,879.9022125737423,863.6966357702128,867.1652969580449,2649926
2022-01-14 07:45:00+00:00,867.1652969580449,870.633958145877,854.5022319752388,857.9339678466254,2168122
2022-01-17 03:45:00+00:00,857.9339678466254,861.3657037180119,850.8253294350376,854.2422986295558,2670859
2022-01-17 07:45:00+00:00,854.2422986295558,857.6592678240739,847.1484268948362,850.5506294124862,2185248
2022-01-18 03:45:00+00:00,850.5506294124862,869.4329115143039,847.1484268948362,865.9690353728126,1550700
2022-01-18 07:45:00+00:00,865.9690353728126,884.9129910984717,862.5051592313214,881.3874413331391,1268754
2022-01-19 03:45:00+00:00,881.3874413331391,889.2799404831212,877.8618915678065,885.7369925130689,1926530
2022-01-19 07:45:00+00:00,885.7369925130689,893.6468898677707,882.1940445430166,890.0865436929987,1576252
